p0.0,p0.1,p0.5,p0.9,p1.0
0.9206962229447128,13.275737000993265,37.557784190543174,78.45247930020228,93.42551441882362
0.9206962229447128,13.275737000993265,37.557784190543174,78.45247930020228,93.42551441882362
0.9206962229447128,9.380885687326298,28.177411439151545,53.6696985940922,69.41760514427753
0.9206962229447128,7.956994812347119,20.199204036072942,42.061310585668316,55.425990645502466
0.6085697181152318,5.806777287897807,17.08749977070497,35.598808718886346,50.99403245618037
0.6085697181152318,5.189918139814872,15.109869853994253,34.046579707118234,50.99403245618037
0.6085697181152318,4.416358120839642,13.14725834351145,24.963349975197595,38.73616434039581
0.7093892596012824,4.66481141231883,11.821139647388629,22.412573367423597,36.02632948884129
0.7093892596012824,4.399308348663313,11.034343492200001,22.27160556930408,36.02632948884129
0.6400567166261629,3.8736480094263066,10.33965605656012,20.668309678865203,36.02632948884129
0.6085697181152318,3.46393186140422,9.986327939096084,19.21477143227086,36.02632948884129
0.36503664262163116,3.0274263669547588,9.692717894144389,19.479108651593076,36.02632948884129
0.36503664262163116,3.0904980142218776,8.975551458985642,17.82600208303723,36.02632948884129
0.36503664262163116,2.9694313206365517,8.75392435393149,14.267699361979778,24.550868112194298
0.36503664262163116,2.7535753810885297,8.34531373078377,13.542831378623804,24.550868112194298
0.337476402249336,2.4671242206163595,7.9902619574049245,13.002983706340997,24.550868112194298
0.337476402249336,2.3391955509996296,7.807786616579452,12.569152834248058,17.11998166153932
0.337476402249336,2.4476584670845822,7.511617196889385,11.968997680751222,16.754088852148797
0.337476402249336,2.309491848091369,7.237889897649491,11.73455298240462,16.754088852148797
0.337476402249336,2.084202407402364,6.916223332411993,11.624591219632705,16.754088852148797
0.337476402249336,2.0544156928953092,6.69929720942366,11.328867131802882,15.765453210042137
0.337476402249336,2.084202407402364,6.352394594084363,11.101477778041323,15.138136876914267
0.337476402249336,2.0636904677946575,6.2294453581875775,10.963218410566428,14.26235593438047
0.337476402249336,2.0544156928953092,6.123691512321064,10.60606114179126,14.26235593438047
0.337476402249336,2.0516457749518917,5.778483004632347,10.259866508687606,14.26235593438047
0.337476402249336,1.917737275556683,5.678274594819756,10.259866508687606,14.26235593438047
0.337476402249336,1.8382553325096054,5.615097358273112,9.904733946222906,13.615473552733816
0.337476402249336,1.8082767999961111,5.599420888376351,9.638605140648512,12.52010441779959
0.337476402249336,1.7554924484881436,5.456899290163299,9.470258728515825,12.52010441779959
0.337476402249336,1.6686644225247926,5.235221866299799,9.395813790483809,12.52010441779959
0.337476402249336,1.6686644225247926,5.085884932411588,9.1818939262493,12.52010441779959
0.337476402249336,1.5331880895903631,5.039211135143911,8.933216114735865,12.52010441779959
0.337476402249336,1.5331880895903631,4.912394565706827,8.845056876261776,12.52010441779959
0.337476402249336,1.4742997180547015,4.866152484237693,8.787707307502208,12.52010441779959
0.337476402249336,1.4742997180547015,4.721236901356386,8.555085786332784,12.52010441779959
0.337476402249336,1.4742997180547015,4.7004844586806245,8.233856495691777,12.52010441779959
0.337476402249336,1.4646179793612142,4.620480401430137,8.172639676886641,12.52010441779959
0.337476402249336,1.4646179793612142,4.557702490172726,8.088656508092956,12.52010441779959
0.36503664262163116,1.441103467048134,4.442972010787232,8.063060560899121,12.52010441779959
0.36503664262163116,1.3981826931440393,4.395895159694014,8.151909777202516,12.52010441779959
0.36503664262163116,1.3981826931440393,4.355372152077179,8.063060560899121,12.52010441779959
0.36503664262163116,1.3966284600752905,4.342522448849781,7.652143582390383,12.52010441779959
0.36503664262163116,1.3966284600752905,4.283885343254297,7.626769173291076,12.52010441779959
0.36503664262163116,1.3966284600752905,4.208885407374242,7.5241017616805435,12.52010441779959
0.36503664262163116,1.3966284600752905,4.11700873420254,7.449784696790745,12.52010441779959
0.36503664262163116,1.3966284600752905,4.080069339373544,7.313386486935491,12.52010441779959
0.36503664262163116,1.3966284600752905,4.022742129745085,7.313386486935491,12.52010441779959
0.36503664262163116,1.3966284600752905,3.960329962935272,7.278274816693236,12.52010441779959
0.36503664262163116,1.3926224779558065,3.915285051883196,7.175303592413804,12.52010441779959
0.36503664262163116,1.3926224779558065,3.880717168628476,7.136579113408894,12.52010441779959
0.36503664262163116,1.360886149352693,3.8587692510496656,7.136579113408894,12.52010441779959
0.1949868400919181,1.356288196866147,3.8123130625791157,7.101778328624449,12.52010441779959
0.1949868400919181,1.34279317662685,3.8123130625791157,7.101778328624449,12.241630836215688
0.1949868400919181,1.34279317662685,3.7691266489003548,6.939145901579835,12.241630836215688
0.1949868400919181,1.34279317662685,3.72817705341325,6.742167164655759,10.812236308115324
0.1949868400919181,1.30930994167526,3.5991425262945,6.742167164655759,10.812236308115324
0.1949868400919181,1.34279317662685,3.708475185410102,6.82797085156149,12.241630836215688
0.1949868400919181,1.30930994167526,3.5718665851856897,6.82797085156149,12.241630836215688
0.1949868400919181,1.2948755239146135,3.5514408825075563,6.712922103153562,12.241630836215688
0.1949868400919181,1.2948755239146135,3.5208862581032068,6.44793477850341,10.812236308115324
0.1949868400919181,1.2852988285576132,3.546082330192011,6.563430640163769,10.812236308115324
0.1949868400919181,1.2852988285576132,3.5208862581032068,6.344169339764755,10.812236308115324
0.1949868400919181,1.2852988285576132,3.51797356861288,6.320974099359454,10.812236308115324
0.1949868400919181,1.2930922588077174,3.4420003875614005,6.289726555561056,10.812236308115324
0.1949868400919181,1.2948755239146135,3.4374611533013613,6.224989048756321,10.812236308115324
0.1949868400919181,1.2852988285576132,3.4163207130823663,6.143983633523836,10.587090597738948
